name,industry,accountOwner,salesforceAccountId,opportunityStage,renewalDate,status
DemoTech Solutions,Technology,grace.lin@example.com,CSV-DEMO-001,Evaluation,2027-03-31,active
BrightPath Manufacturing,Manufacturing,Maya Chen,CSV-DEMO-002,Pilot,2027-06-30,pilot
Summit Logistics,Transportation,Jordan Patel,CSV-DEMO-003,Discovery,2027-04-15,active
BlueWave Insurance,Insurance,Grace Lin,CSV-DEMO-004,Renewal Review,2026-12-20,active
Cedar Grove Education,Education,maya.chen@example.com,CSV-DEMO-005,Evaluation,2027-08-01,pilot
Horizon Hospitality,Hospitality,Jordan Patel,CSV-DEMO-006,Expansion,2027-02-28,active
Nova Energy,Utilities,Grace Lin,CSV-DEMO-007,Discovery,2027-05-31,active
Silverline Media,Media,Maya Chen,CSV-DEMO-008,Pilot,2027-07-15,pilot
UrbanWorks Construction,Construction,jordan.patel@example.com,CSV-DEMO-009,Evaluation,2027-09-30,active
Vertex Biotech,Biotechnology,Grace Lin,CSV-DEMO-010,Expansion,2027-11-30,active
