salesforceAccountId,productName,snapshotDate,activeUsers,licensedSeats,licenseUtilization,usageGrowth,featureAdoption
CSV-DEMO-001,CRM Platform,2026-07-31,120,150,,18.5,"{""Reporting"":72,""Automation"":48}"
CSV-DEMO-002,Collaboration Tool,2026-07-31,64,80,,9.5,"{""Channels"":68,""Workflow approvals"":52}"
CSV-DEMO-003,Business Analytics Software,2026-07-31,92,120,,14.2,"{""Dashboards"":75,""Forecasting"":57}"
CSV-DEMO-004,CRM Platform,2026-07-31,215,250,,22.4,"{""Reporting"":81,""Automation"":66}"
CSV-DEMO-005,Collaboration Tool,2026-07-31,48,75,,6.8,"{""Channels"":61,""Workflow approvals"":43}"
CSV-DEMO-006,Business Analytics Software,2026-07-31,138,180,,17.6,"{""Dashboards"":78,""Forecasting"":62}"
CSV-DEMO-007,CRM Platform,2026-07-31,305,400,,11.3,"{""Reporting"":69,""Automation"":54}"
CSV-DEMO-008,Collaboration Tool,2026-07-31,84,100,,13.9,"{""Channels"":82,""Workflow approvals"":71}"
CSV-DEMO-009,Business Analytics Software,2026-07-31,56,90,,8.1,"{""Dashboards"":64,""Forecasting"":39}"
CSV-DEMO-010,CRM Platform,2026-07-31,172,200,,24.7,"{""Reporting"":86,""Automation"":73}"
